fromNode,toNode,value,interaction_type,selfLoop,label,guid
object,isconstant,1,,False,,10660
object,setvalue,1,,False,,10661
object,methodinfo,2,,False,,10662
object,attr,5,,False,,10663
object,tproperty,8,,False,,10664
object,round,1,,False,,10665
object,invoke,1,,False,,10666
object,gettype,3,,False,,10667
object,assm,4,,False,,10668
object,public,24,,False,,10669
overrides,function,352,,False,,1067
object,parameters,2,,False,,10670
object,select,2,,False,,10671
object,shared,1,,False,,10672
object,interface,4,,False,,10673
object,intptr,7,,False,,10674
object,inputhandler,1,,False,,10675
object,activator,4,,False,,10676
object,vector,1,,False,,10677
object,throw,1,,False,,10678
object,assembly,4,,False,,10679
namespacedoc,class,4,,False,,1068
object,byref,3,,False,,10680
object,expression,1,,False,,10681
object,seq,1,,False,,10682
object,implements,30,,False,,10683
object,property,8,,False,,10684
object,string,26,,False,,10685
object,vbdebugger,1,,False,,10686
object,return,69,,False,,10687
object,toarray,2,,False,,10688
object,factory,1,,False,,10689
namespacedoc,vb,8,,False,,1069
object,s1,1,,False,,10690
object,tfield,3,,False,,10691
object,innerlist,2,,False,,10692
object,belement,2,,False,,10693
object,digest,1,,False,,10694
object,list,2,,False,,10695
object,keycollection,1,,False,,10696
object,object,83,,True,,10697
object,key,3,,False,,10698
object,argumentreference,1,,False,,10699
deque,count,2,,False,,107
namespacedoc,module,2,,False,,1070
object,type,17,,False,,10700
object,call,18,,False,,10701
object,consoleinputevent,5,,False,,10702
object,setvaluextension,1,,False,,10703
object,eventname,3,,False,,10704
object,eventhandler,3,,False,,10705
object,tindex,11,,False,,10706
object,scripting,3,,False,,10707
object,optional,14,,False,,10708
object,methodimpl,5,,False,,10709
repository,namespace,3,,False,,1071
object,array,3,,False,,10710
object,obj,3,,False,,10711
object,enum,2,,False,,10712
object,xmlfile,1,,False,,10713
object,default,6,,False,,10714
object,boolean,35,,False,,10715
object,closed,4,,False,,10716
object,function,18,,False,,10717
object,action,4,,False,,10718
object,target,4,,False,,10719
repository,public,4,,False,,1072
object,dictionary,9,,False,,10720
object,numberofparameters,3,,False,,10721
object,arg1,3,,False,,10722
object,arg2,1,,False,,10723
object,byte,8,,False,,10724
object,datareceivedeventargs,1,,False,,10725
object,args,1,,False,,10726
object,dim,83,,False,,10727
object,method,1,,False,,10728
object,members,4,,False,,10729
repository,imports,8,,False,,1073
object,node,1,,False,,10730
object,source,19,,False,,10731
peeknext,length,1,,False,,10732
tagattributes,toarray,2,,False,,10733
eachvalue,matchcollection,1,,False,,10734
eachvalue,function,1,,False,,10735
src,length,1,,False,,10736
src,javascript,4,,False,,10737
src,text,55,,False,,10738
src,commandline,56,,False,,10739
unixbash,namespace,3,,False,,1074
src,componentmodel,131,,False,,10740
src,framework,4,,False,,10741
src,destination,3,,False,,10742
src,string,1,,False,,10743
src,return,1,,False,,10744
src,toarray,3,,False,,10745
src,unix,1,,False,,10746
src,src,3,,True,,10747
src,img,1,,False,,10748
